id,provider,region,instance_type,probe_kind,meta_policy,max_minutes,policy_version,instance_id,outcome,start_time_utc,end_time_utc,duration_minutes,interrupted,interrupt_bin,survived_hours,spot_price_usd,price_delta_6h,sampling_propensity,pred_h1_at_launch,pred_risk_5h_at_launch,features_snapshot,created_at,source,topup_reason
6940,aws,us-east-1,m6a.large,topup,min4_topup,60,meta_v3_ensemble_h1_hedge_persist,i-053601ebc4bc60bab,Censored (Stopped by Design),2026-02-18 00:05:28.846765+00,2026-02-18 01:05:40.948143+00,60.2,false,,1,0.0437,0.0024,1,0.00724737038340823,,"{""launch_dow"":2,""launch_utc_hour"":0,""price_zscore_6h"":0.923076923076923,""launch_local_hour"":0}",2026-02-18 01:05:41.430409+00,topup,
6941,aws,us-east-1,m6a.large,topup,min4_topup,60,meta_v3_ensemble_h1_hedge_persist,i-03801182fb650a63c,Censored (Stopped by Design),2026-02-18 00:05:34.069403+00,2026-02-18 01:05:46.441226+00,60.21,false,,1,0.0437,0.0024,1,0.00644113318231516,,"{""launch_dow"":2,""launch_utc_hour"":0,""price_zscore_6h"":0.923076923076923,""launch_local_hour"":0}",2026-02-18 01:05:47.040123+00,topup,
6942,aws,us-east-1,m6a.large,topup,min4_topup,60,meta_v3_ensemble_h1_hedge_persist,i-058de74c971dbddf6,Censored (Stopped by Design),2026-02-18 00:05:39.143353+00,2026-02-18 01:05:52.167667+00,60.22,false,,1,0.0437,0.0024,1,0.00753000307633182,,"{""launch_dow"":2,""launch_utc_hour"":0,""price_zscore_6h"":0.923076923076923,""launch_local_hour"":0}",2026-02-18 01:05:52.919387+00,topup,
6943,aws,us-east-1,m6a.large,topup,min4_topup,60,meta_v3_ensemble_h1_hedge_persist,i-0a388c086a2e8a73f,Censored (Stopped by Design),2026-02-18 00:05:44.19586+00,2026-02-18 01:05:56.61335+00,60.21,false,,1,0.0437,0.0024,1,0.00692736506085963,,"{""launch_dow"":2,""launch_utc_hour"":0,""price_zscore_6h"":0.923076923076923,""launch_local_hour"":0}",2026-02-18 01:05:57.145455+00,topup,
6968,aws,us-east-1,m6a.large,topup,min4_topup,60,meta_v3_ensemble_h1_hedge_persist,i-0493dfc8bd1dd3725,Censored (Stopped by Design),2026-02-18 01:07:51.359142+00,2026-02-18 02:08:03.810322+00,60.21,false,,1,0.0437,0.0024,1,0.0074803356950288,,"{""launch_dow"":2,""launch_utc_hour"":1,""price_zscore_6h"":0.923076923076923,""launch_local_hour"":1}",2026-02-18 02:08:04.87394+00,topup,
6969,aws,us-east-1,m6a.large,topup,min4_topup,60,meta_v3_ensemble_h1_hedge_persist,i-0faeb32fb3eb83425,Censored (Stopped by Design),2026-02-18 01:07:56.306783+00,2026-02-18 02:08:08.770408+00,60.21,false,,1,0.0437,0.0024,1,0.00802926806670129,,"{""launch_dow"":2,""launch_utc_hour"":1,""price_zscore_6h"":0.923076923076923,""launch_local_hour"":1}",2026-02-18 02:08:09.713249+00,topup,
6970,aws,us-east-1,m6a.large,topup,min4_topup,60,meta_v3_ensemble_h1_hedge_persist,i-036822a937efb79a3,Censored (Stopped by Design),2026-02-18 01:08:01.297199+00,2026-02-18 02:08:13.661225+00,60.21,false,,1,0.0437,0.0024,1,0.0075202607189582,,"{""launch_dow"":2,""launch_utc_hour"":1,""price_zscore_6h"":0.923076923076923,""launch_local_hour"":1}",2026-02-18 02:08:14.236245+00,topup,
6971,aws,us-east-1,m6a.large,topup,min4_topup,60,meta_v3_ensemble_h1_hedge_persist,i-08bab8c3927c74707,Censored (Stopped by Design),2026-02-18 01:08:06.525306+00,2026-02-18 02:08:19.042972+00,60.21,false,,1,0.0437,0.0024,1,0.00729645188398217,,"{""launch_dow"":2,""launch_utc_hour"":1,""price_zscore_6h"":0.923076923076923,""launch_local_hour"":1}",2026-02-18 02:08:19.69771+00,topup,
6972,aws,us-east-1,c6i.large,topup,min4_topup,60,meta_v3_ensemble_h1_hedge_persist,i-0c3c65eee9d88dc98,Censored (Stopped by Design),2026-02-18 01:08:11.460215+00,2026-02-18 02:08:23.461207+00,60.2,false,,1,0.0329,-0.0068,1,0.0556646513137439,,"{""launch_dow"":2,""launch_utc_hour"":1,""price_zscore_6h"":-0.9714285714285715,""launch_local_hour"":1}",2026-02-18 02:08:23.961962+00,topup,
6973,aws,us-west-2,t3a.large,topup,min4_topup,60,meta_v3_ensemble_h1_hedge_persist,i-099205fd734c3bd05,Censored (Stopped by Design),2026-02-18 01:08:16.739396+00,2026-02-18 02:08:32.521205+00,60.26,false,,1,0.0288,-0.0052,1,0.0318460255119493,,"{""launch_dow"":2,""launch_utc_hour"":1,""price_zscore_6h"":-0.962962962962963,""launch_local_hour"":1}",2026-02-18 02:08:33.176491+00,topup,
